Sample_ID	Filename	Name	IVIM_ID	IVIM_Color	IVIM_Farbe	Batch	Immortalized	Immortalized_Code	Immortalized_Color	Vector	Vector_Color	Vector_Farbe	Vector_Group	Design	Design_Code	Design_Color	Design_Farbe	Label	Label_Code	Label_XCode
X5099	5099.txt	LV.EFS.d15.N.5	150304	#DD3497	pink	3	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5118	5118.txt	Mock.d15.N.8	150318	#4292C6	blue	4	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5119	5119.txt	RV.SF.d15.Y.8	150318	#4292C6	blue	4	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5120	5120.txt	LV.EFS.d15.N.6	150318	#4292C6	blue	4	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5265	5265.txt	RV.SF.d15.Y.12	151014	#F7FCB9	yellow	5	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5268	5268.txt	LV.EFS.d15.N.8	151014	#F7FCB9	yellow	5	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5271	5271.txt	Mock.d15.N.11	151014	#F7FCB9	yellow	5	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5399	5399.txt	Mock.d15.N.14	160210	#FB6A4A	orange	5	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5400	5400.txt	RV.SF.d15.Y.15	160210	#FB6A4A	orange	5	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5401	5401.txt	Mock.d15.N.17	160210	#FB6A4A	orange	5	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5402	5402.txt	RV.SF.d15.Y.18	160210	#FB6A4A	orange	5	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5403	5403.txt	Mock.d15.N.15	160210	#FB6A4A	orange	5	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5404	5404.txt	RV.SF.d15.Y.16	160210	#FB6A4A	orange	5	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5405	5405.txt	Mock.d15.N.18	160210	#FB6A4A	orange	5	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5406	5406.txt	RV.SF.d15.Y.19	160210	#FB6A4A	orange	5	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5407	5407.txt	Mock.d15.N.16	160210	#FB6A4A	orange	5	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5408	5408.txt	RV.SF.d15.Y.17	160210	#FB6A4A	orange	5	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5409	5409.txt	Mock.d15.N.19	160210	#FB6A4A	orange	5	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5410	5410.txt	RV.SF.d15.Y.20	160210	#FB6A4A	orange	5	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5468	5468.txt	Mock.d15.N.20	160413	#A50F15	dark red	6	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5469	5469.txt	RV.SF.d15.Y.21	160413	#A50F15	dark red	6	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5470	5470.txt	MFG.yc.d15.N.1	160413	#A50F15	dark red	6	No	1	#737373	A5_LTR.RV.MLV.IL2RG	#993300	brown	8	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5471	5471.txt	CMMP.WASP.d15.N.1	160413	#A50F15	dark red	6	No	1	#737373	A6_LTR.RV.MPSV.WASP	#F29400	light orange	9	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5472	5472.txt	LV.EFS.d15.N12	160413	#A50F15	dark red	6	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5473	5473.txt	Mock.d15.N.21	160413	#A50F15	dark red	6	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5474	5474.txt	RV.SF.d15.Y.22	160413	#A50F15	dark red	6	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5475	5475.txt	MFG.yc.d15.N.2	160413	#A50F15	dark red	6	No	1	#737373	A5_LTR.RV.MLV.IL2RG	#993300	brown	8	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5476	5476.txt	CMMP.WASP.d15.N.2	160413	#A50F15	dark red	6	No	1	#737373	A6_LTR.RV.MPSV.WASP	#F29400	light orange	9	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5477	5477.txt	LV.EFS.d15.N13	160413	#A50F15	dark red	6	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5478	5478.txt	CMMP.WASP.d15.N.3	160413	#A50F15	dark red	6	No	1	#737373	A6_LTR.RV.MPSV.WASP	#F29400	light orange	9	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5479	5479.txt	LV.EFS.d15.N14	160413	#A50F15	dark red	6	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	4	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5602	5602.txt	Mock.d15.N.22	160525	#BDBDBD	light grey	7	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5603	5603.txt	RV.SF.d15.Y.23	160525	#BDBDBD	light grey	7	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5604	5604.txt	MFG.yc.d15.N.3	160525	#BDBDBD	light grey	7	No	1	#737373	A5_LTR.RV.MLV.IL2RG	#993300	brown	8	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5605	5605.txt	MFG.yc.d15.Y.1	160525	#BDBDBD	light grey	7	Yes	2	#A50F15	A5_LTR.RV.MLV.IL2RG	#993300	brown	8	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5606	5606.txt	MFG.yc.d15.Y.2	160525	#BDBDBD	light grey	7	Yes	2	#A50F15	A5_LTR.RV.MLV.IL2RG	#993300	brown	8	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5607	5607.txt	Mock.d15.N.22	160706	#C7E9C0	light green	7	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5608	5608.txt	RV.SF.d15.Y.23	160706	#C7E9C0	light green	7	No	1	#737373	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5609	5609.txt	LV.EFS.d15.N15	160706	#C7E9C0	light green	7	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	10	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5610	5610.txt	LV.EFS.d15.N16	160706	#C7E9C0	light green	7	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	10	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5611	5611.txt	LV.EFS.d15.N17	160706	#C7E9C0	light green	7	No	1	#737373	A4_SIN.LV.EFS	#4292C6	blue	10	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5612	5612.txt	CMMP.WASP.d15.Y.1	160706	#C7E9C0	light green	7	Yes	2	#A50F15	A6_LTR.RV.MPSV.WASP	#F29400	light orange	9	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5613	5613.txt	CMMP.WASP.d15.N.4	160706	#C7E9C0	light green	7	No	1	#737373	A6_LTR.RV.MPSV.WASP	#F29400	light orange	9	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5614	5614.txt	CMMP.WASP.d15.Y.2	160706	#C7E9C0	light green	7	Yes	2	#A50F15	A6_LTR.RV.MPSV.WASP	#F29400	light orange	9	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5615	5615.txt	LV.SF.d15.Y.3	160706	#C7E9C0	light green	7	Yes	2	#A50F15	A3_SIN.LV.SF.eGFP	#E5700F	dark orange	3	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5616	5616.txt	LV.SF.d15.Y.4	160706	#C7E9C0	light green	7	Yes	2	#A50F15	A3_SIN.LV.SF.eGFP	#E5700F	dark orange	3	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5617	5617.txt	LV.SF.d15.N.2	160706	#C7E9C0	light green	7	No	1	#737373	A3_SIN.LV.SF.eGFP	#E5700F	dark orange	3	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5741	5741.txt	Mock.d15.N.24	161102	#238443	dark green	8	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5742	5742.txt	Mock.d15.N.25	161102	#238443	dark green	8	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X5743	5743.txt	RV.SF.d15.Y.25	161102	#238443	dark green	8	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5744	5744.txt	RV.SF.d15.Y.26	161102	#238443	dark green	8	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X5745	5745.txt	SRS.EFS.d15.N.4	161102	#238443	dark green	8	No	1	#737373	A7_SIN.RV.EFS.eGFP	#449488	green	11	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5746	5746.txt	SRS.EFS.d15.N.5	161102	#238443	dark green	8	No	1	#737373	A7_SIN.RV.EFS.eGFP	#449488	green	11	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5747	5747.txt	SRS.EFS.d15.N.6	161102	#238443	dark green	8	No	1	#737373	A7_SIN.RV.EFS.eGFP	#449488	green	11	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X5748	5748.txt	BB694.d15.N1	161102	#238443	dark green	8	No	1	#737373	A8_LVBB694	#9ECAE1	light blue	12	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X9910	9910.txt	Mock.d15.N.26	170125	#000000	black	9	No	1	#737373	A2_MOCK	#969696	grey	1	A2_Mock	1	#737373	grey	untransforming	0	X0
X9911	9911.txt	AV.EFS.d15.N2	170125	#000000	black	9	No	1	#737373	A9_SIN.AV.EFS	#9999CC	lila	13	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X9912	9912.txt	RV.SF.d15.Y.27	170125	#000000	black	9	Yes	2	#A50F15	A1_LTR.RV.SF.eGFP	#F90618	red	2	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X9913	9913.txt	AV.EFS.d15.N3	170125	#000000	black	9	No	1	#737373	A9_SIN.AV.EFS	#9999CC	lila	13	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X9914	9914.txt	AV.SF.d15.N1	170125	#000000	black	9	No	1	#737373	A10_SIN.AV.SF	#FCC300	orange	14	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X9915	9915.txt	AV.EFS.d15.N1	170125	#000000	black	9	No	1	#737373	A9_SIN.AV.EFS	#9999CC	lila	13	A3_Safe	2	#C7E9C0	light green	untransforming	0	X0
X9916	9916.txt	AV.SF.d15.Y1	170125	#000000	black	9	Yes	2	#A50F15	A10_SIN.AV.SF	#FCC300	orange	14	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
X9917	9917.txt	AV.SF.d15.N2	170125	#000000	black	9	No	1	#737373	A10_SIN.AV.SF	#FCC300	orange	14	A1_Mutagenic	3	#CB181D	red2	transforming	1	X1
