Sample_ID	Filename	Batch	Group	Vector	Class	IVIM_Color	Design_Color
X5607	5607.txt	7	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5608	5608.txt	7	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5609	5609.txt	7	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5610	5610.txt	7	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5611	5611.txt	7	NA	A4_SIN.LV.EFS	nontransforming	#FFFFFF	#C7E9C0
X5612	5612.txt	7	NA	A6_LTR.RV.MPSV.WASP	transforming	#FFFFFF	#CB181D
X5613	5613.txt	7	NA	A6_LTR.RV.MPSV.WASP	transforming	#FFFFFF	#CB181D
X5614	5614.txt	7	NA	A6_LTR.RV.MPSV.WASP	transforming	#FFFFFF	#CB181D
X5615	5615.txt	7	NA	A3_SIN.LV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5616	5616.txt	7	NA	A3_SIN.LV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5617	5617.txt	7	NA	A3_SIN.LV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5741	5741.txt	8	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5742	5742.txt	8	NA	A2_MOCK	nontransforming	#FFFFFF	#737373
X5743	5743.txt	8	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5744	5744.txt	8	NA	A1_LTR.RV.SF.eGFP	transforming	#FFFFFF	#CB181D
X5745	5745.txt	8	NA	A7_SIN.RV.EFS.eGFP	nontransforming	#FFFFFF	#C7E9C0
X5746	5746.txt	8	NA	A7_SIN.RV.EFS.eGFP	nontransforming	#FFFFFF	#C7E9C0
X5747	5747.txt	8	NA	A7_SIN.RV.EFS.eGFP	nontransforming	#FFFFFF	#C7E9C0
X5748	5748.txt	8	NA	A8_LVBB694	nontransforming	#FFFFFF	#C7E9C0
